item_no,item_name,category,kind,requests,part_numbers,merged_from
BDY-0044,Edge Buffer,Body & Cabin,part,1,,Buffer edge
BDY-0045,Gear Boot Bracket,Body & Cabin,part,1,,Gear Boot Bracket
BDY-0046,Head Light Cowling,Body & Cabin,part,1,,Head light cowling
BDY-0047,Head Light Fixing,Body & Cabin,part,1,,Head Light Fixing
BDY-0048,Iron Hinge,Body & Cabin,part,1,,2 Iron Hingers
BDY-0049,L Handle,Body & Cabin,part,1,,��� L handle
BDY-0050,Number Plate,Body & Cabin,part,1,,New Number Plate
BDY-0051,Outer Door Handle,Body & Cabin,part,1,,Out Door Handle (L)
BDY-0052,Perspex,Body & Cabin,part,1,,Perspeck
BDY-0053,Rear Canopy Door Lock,Body & Cabin,part,1,,Lock Rear Canopy Door
BDY-0054,Rubber Cab Mount,Body & Cabin,part,1,,Rubber Cab Mount (Front)
BDY-0055,Seat Beading,Body & Cabin,part,1,,Seat Beeding
BDY-0056,Seat Belt Full Set,Body & Cabin,part,1,,Seat Belt Full Set
BDY-0057,Seat Cushion,Body & Cabin,part,1,6/1/26,Seat cushion
BDY-0058,Sun Visor,Body & Cabin,part,1,,Sun visor
BDY-0059,Sunbox Cover,Body & Cabin,part,1,,Sunbox cover
BDY-0060,Windscreen,Body & Cabin,part,1,,Windscreen
BDY-0061,Windscreen Beading,Body & Cabin,part,1,,Wind screen beeding
BLT-0001,Fan Belt,Belts & Hoses,part,27,SPK 1835 | 2470 | 4T-1130 | 6390 | 6403 | 6405 | 8480 | 8520 | B3430 | H PK-1290 | 10pk-1440 | 6320 | 6430,1. Fan Belt +1 | 10pk-1440 Fan Belt | Fab belt | Fan Belt | Fan Belt 6320 | Fan belt 6430
BLT-0002,Radiator Hose,Belts & Hoses,part,11,,Radiator Hose | Radiator Hose (L) Steel | Radiator Hose (steel)
BLT-0003,Water Hose,Belts & Hoses,part,11,,45 mm Water Hose | Water Hose | Water pressure Hose | Water Hose -U- | Hose (Water)
BLT-0004,Belt,Belts & Hoses,part,9,6300 | 6370 | 7333266 | A-34 | B-78,Belt | Drive Belt | Belt (as per sample)
BLT-0005,A/C Belt,Belts & Hoses,part,8,A-46 | RECMF6460 | 8510 | A36 | 45 | 6360,A/C Belt | AC Belt | AC Belt 6360
BLT-0006,Fuel Hose,Belts & Hoses,part,8,318,1. Diesel Hose | Diesel Hose | Diesel Tank Hose | Fuel hose
BLT-0007,Hose,Belts & Hoses,part,8,,Hose (Ft) | Hose
BLT-0008,Alternator Belt,Belts & Hoses,part,6,6420,Alternator Belt | Alternator Belt 6420 | Alternator Drive Belt
BLT-0009,Belt Adjuster,Belts & Hoses,part,5,A21-8111200,Belt Adjector | 2. Belt Adjuster | Belt Adjuster | T belt Adjuster
BLT-0010,Power Steering Belt,Belts & Hoses,part,5,1250,Power Steering Belt 1250 | Power steering belt
BLT-0011,Air Hose,Belts & Hoses,part,4,,6m Air Hose | 6mm Air Hose | 8mm Air Hose
BLT-0012,Timing Belt,Belts & Hoses,part,4,,Timing Belt
BLT-0013,Turbo Hose,Belts & Hoses,part,4,,Turbo Flexible Hose | Turbo hose
BLT-0014,Injector Overflow Hose,Belts & Hoses,part,3,,Diesel Overfloor Hose | Injector overflow Hose
BLT-0015,Breather Hose,Belts & Hoses,part,2,,Breather Hose
BLT-0016,Connecting Hose,Belts & Hoses,part,2,,Connecting Hose
BLT-0017,Packing Hose,Belts & Hoses,part,2,,Packing Hose
BLT-0018,Pneumatic Hose,Belts & Hoses,part,2,,Pneumatic Hose with union | preumetic Hose with union
BLT-0019,Adjuster Pulley,Belts & Hoses,part,1,,Adjuster pully
BLT-0020,Air Cleaner Hose,Belts & Hoses,part,1,,Air cleaner hose
BLT-0021,Air Meter Hose,Belts & Hoses,part,1,,Air Meter Flexible Hose
BLT-0022,Compressor Oil Hose,Belts & Hoses,part,1,,Compresser Oil Hose
BLT-0023,Concrete Mixer Hose,Belts & Hoses,part,1,,"Concrete mixture hose,"
BLT-0024,Diesel Flexible Kit,Belts & Hoses,part,1,,diesel flexible kit
BLT-0025,Filter Belt,Belts & Hoses,part,1,,Filter belt
BLT-0026,Green Hose,Belts & Hoses,part,1,,2 Green Hose
BLT-0027,Oil Hose,Belts & Hoses,part,1,,Oil Hose
BLT-0028,Overflow Hose,Belts & Hoses,part,1,,Over Flow Hose — Ft
BLT-0029,Stainless Steel Hose,Belts & Hoses,part,1,,S/S Hose
BLT-0030,Tensioner Belt,Belts & Hoses,part,1,278615999902,Tensioner Belt
BLT-0031,Upper Cooling Water Line,Belts & Hoses,part,1,,Upper Cooling Water Line
BRG-0001,Bearing,Bearings & Seals,part,70,"212049/10 Japan | 28682 | 382A | 6206DDUNR | 6308DDUNR | 6310 | 677B0806, 677B0805 | HM212049 | LM102910 | 32308 | 6200 | 6010 | 6205 | 6208 | 6210 | 6211 | 30209 | 6000 | 6001 | 6002 | 6003 | 6004 | 6201 | 6202 | 6203 | 6302 | 6305 | 6307/10 | 79020 | JLM104910 | 6305LL | 6000DU | 6200DU | 6005-RS | 6003-RZ | 6309VAD | 6208 Z | 6007 Z | 6201 Z | 6202 ZRZ",Beaing | 32308 Bearing | 4. Bearing 6200 | 6010 NSK Bearing | 6205 Z Bearing | 6208 NSK Bearing | 6210 NSK Bearing | 6211 NSK Bearing | Bearing | Bearing 30209 | Bearing 6000 | Bearing 6001 | Bearing 6002 | Bearing 6003 | Bearing 6004 | Bearing 6201 | Bearing 6202 | Bearing 6203 | Bearing 6208 | Bearing 6210 | Bearing 6302 | Bearing 6305 | Bearing 6307/10 | Bearing 79020 | Bearing (L) | Bearing Large | Bearing 6305LL | Bearing — Whare House Project | 1. Bearing 6005 RS | 2. Bearing 6003 RZ | Bearing (S) | Bearing Small | Bearing 6309VAD | 5. Bearing 6208 Z | 6. Bearing 6007 Z | Bearing 6201 Z | 3. Bearing 6202 ZRZ
BRG-0002,Oil Seal,Bearings & Seals,part,25,AP28641 | H6227 | SM 6509,"Oil Seal AP28641 (?) | Great Oil Seal (Front) | Oil Seal S/L | Oil Seal Large | 2. Oil Seal | 6. Grease Seal | H6227 Seal | Kik oil seal | Oil Seal | SM 6509 Seal | Seal | Oil seals, | Oil Seal (Top & main shaft) | Oil Seal (small)"
BRG-0003,O Ring,Bearings & Seals,part,16,6F4718 | H3927 | H3934,O rings (L) | Oring | 125mm D O ring | 175mm d O ring | 3. O-ring | 5. O-ring | 6F4718 seal o ring | H3927 Seal o ring | H3934 Seal o ring | O Ring | Sealing Ring (O Ring) | O Rings | O rings (S)
BRG-0004,Clutch Release Bearing,Bearings & Seals,part,15,,4. Clutch release bearing | Clutch Bearing | Clutch Release Bearing | clutch realing bearing | clutch releasing bearing | Bearing (Clutch Release)
BRG-0005,Grease Seal,Bearings & Seals,part,13,,Seal (grease) | Grease Seal
BRG-0006,Crank Oil Seal,Bearings & Seals,part,11,,Crank Oil Seal | Frank Oil Seal
BRG-0007,Hub Bearing,Bearings & Seals,part,11,32308 | 56252 | 218248 | HM-218248 | 212049,32308 Hub Bearing | 56252 Hub Bearing | Hib bearing 218248 | Hub Bearing | Hub bearing 212049 | Hub bearing outer large
BRG-0008,Hub Oil Seal,Bearings & Seals,part,11,67/8/51,Hub Grease Seal | Hub Oil Seal | Hub Seal | Hub bearing seal
BRG-0009,Pilot Bearing,Bearings & Seals,part,8,6204,3. Pilot bearing | Main Shaft Pilot bearing | Pilot Bearing 6204 | Piolot Bearing | pilot bearing | Pilot Bearing (Bush)
BRG-0010,Seal Ring,Bearings & Seals,part,6,2M3340 | 956914 | 2P-3597 | 853370 | 956911 | 956913,2M3340 Ring | 956914 ring | 2P 3597 rings | 853370 rings | 956911 rings | 956913 ring seal
BRG-0011,Thrust Bearing Set,Bearings & Seals,part,6,,3. Thrust bearing (set) | Thrust Bearing (Set) | Trust Bearing Set | Trust Bearing Set 0.25
BRG-0012,Counter Shaft Bearing,Bearings & Seals,part,5,34RUS64NC,Counter Shaft Bearing | counter (Front) bearing | Counter Shaft Bearing 34RUS64NC
BRG-0013,Needle Bearing,Bearings & Seals,part,5,,Needle Bearing
BRG-0014,Top Shaft Bearing,Bearings & Seals,part,5,35TM,Top Shaft Bearing | Top Shaft Bearing 35Tm
BRG-0015,Main Shaft Bearing,Bearings & Seals,part,4,6306 | 6306x3,Main Shaft Bearing | Main Shaft Bearing 6306 | Main Shaft Bearing 6306x3
BRG-0016,Roller Bearing,Bearings & Seals,part,4,,Roller Bearing Large | Roller Bearing Small
BRG-0017,Camshaft Oil Seal,Bearings & Seals,part,3,,Cam Shaft oil seal | cam oil seal
BRG-0018,Center Bearing,Bearings & Seals,part,3,,Center Mount Bearing | Center bearing
BRG-0019,Front Crank Oil Seal,Bearings & Seals,part,3,,Front Cover (oil Seal) | Front Crank Oil Seal | Front Oil Seal
BRG-0020,Hub Race,Bearings & Seals,part,3,E30205J | LM48548,Hub Racer
BRG-0021,Hub Seal,Bearings & Seals,part,3,166989 | PV-6889 | 67/8/51 | 125-150-12,125-150-12 Hub Seal | 166989 PV-6889 Hub Grease Seal | <120\cdot15$ Hub Seal
BRG-0022,Pinion Oil Seal,Bearings & Seals,part,3,,Pinion Oil Seal | Pinion Seal
BRG-0023,Pressure Seal,Bearings & Seals,part,3,,Pressor Seal (Pressor pump Seal) | Pressor seal | Presure Seal
BRG-0024,Seal,Bearings & Seals,part,3,2S-4663 | 3K-2876 | 8M8254,2S 4663 Seal | 3K 2876 Seal | 8M8254 seal
BRG-0025,Ball Bearing,Bearings & Seals,part,2,,Ball Bearing
BRG-0026,Cam Bearing,Bearings & Seals,part,2,,Cam Bearing
BRG-0027,Cup Bearing,Bearings & Seals,part,2,138181 | 47115,Cup Bearing 138181 | Cup Bearing 47115
BRG-0028,Duo Cone Seal,Bearings & Seals,part,2,,2. Duo Cone | 2. Duo Cone seal
BRG-0029,Gearbox Top Shaft Oil Seal,Bearings & Seals,part,2,,Gear Box Top Shaft Oil Seal | Top Shaft Seal
BRG-0030,Gland Packing,Bearings & Seals,consumable,2,,Grand packing | Gtand Packing
BRG-0031,Hub Bearing Inner,Bearings & Seals,part,2,,Hub bearing inner small
BRG-0032,Radiator Fan Hub Bearing,Bearings & Seals,part,2,,Radiator Fan Hub Bearing
BRG-0033,Wheel Bearing,Bearings & Seals,part,2,,Whell Bearing inner | Wheel Bearing outer
BRG-0034,A/C Adjuster Bearing,Bearings & Seals,part,1,,ac adjuster bearing
BRG-0035,Bearing (After Lathing),Bearings & Seals,part,1,,Bearing After Lathing
BRG-0036,Bearing Guide Plate,Bearings & Seals,part,1,,Bearing Guide P[late
BRG-0037,Bronze Rod Bush,Bearings & Seals,part,1,,Bronze rod bush
BRG-0038,Clamp Seal,Bearings & Seals,part,1,,Clamp Seal
BRG-0039,Clutch Release/Pilot Bearing,Bearings & Seals,part,1,,Bearing (Clutch release/Pilot)
BRG-0040,Com Bush Set,Bearings & Seals,part,1,,com bush set
BRG-0041,Cone Seal,Bearings & Seals,part,1,,cone seal
BRG-0042,Connecting Rod Bearing,Bearings & Seals,part,1,,Rod Kit Bearing
BRG-0043,Copper Bronze Bush,Bearings & Seals,part,1,,"1 1/2""*2"" Copper Bronse"
BRG-0044,Crank Oil Seal Packing,Bearings & Seals,part,1,,Crank Oil Seal Packing
BRG-0045,Differential Oil Seal,Bearings & Seals,part,1,,Differencial oil seal
BRG-0046,Dust Seal,Bearings & Seals,part,1,,Seal (Dust)
BRG-0047,Felt & Rubber Seal,Bearings & Seals,part,1,,(Felt seal & Rubber seal)
BRG-0048,Gearbox Coupling Oil Seal,Bearings & Seals,part,1,,Gear Box Coupling Oil Seal
BRG-0049,Gearbox Oil Seal,Bearings & Seals,part,1,,Gearbox Oil Seal
BRG-0050,Idler Wheel with Bearing,Bearings & Seals,part,1,,Iddle wheed with Bearing
BRG-0051,Injector O Ring,Bearings & Seals,part,1,,Injector O Rings
BRG-0052,Injector Oil Seal,Bearings & Seals,part,1,,Injector Oil Seal
BRG-0053,Needle Bearing Inner (With Collar Sleeve),Bearings & Seals,part,1,,05th Neele Bearing InnerWith Coller Sleeve
BRG-0054,O-Ring (Injector Pump),Bearings & Seals,part,1,,O ring - Injector Pump (output)
BRG-0055,Oil Seal Collar,Bearings & Seals,part,1,,Oil seals coller
BRG-0056,Pin Bush Set,Bearings & Seals,part,1,,pin bush set
BRG-0057,Pinion Seal,Bearings & Seals,part,1,,Pinion Seal (Front)
BRG-0058,Power Steering Pump Oil Seal,Bearings & Seals,part,1,,Power Steering Pump Oil Seal
BRG-0059,Pulley Block Bearing,Bearings & Seals,part,1,,Bearing (Block X Pulley)
BRG-0060,Rear Crankshaft Oil Seal,Bearings & Seals,part,1,,Rear Crank Oil Seal
BRG-0061,Rocker Arm Needle,Bearings & Seals,part,1,,Rocker Arm Needle
BRG-0062,Rubber Seal,Bearings & Seals,part,1,DN175,DN175 Rubber Seal
BRG-0063,Rubber Seal (DN125),Bearings & Seals,part,1,,DN125 Rubber Seal (B)
BRG-0064,Seal Kit,Bearings & Seals,part,1,,Seal Kit
BRG-0065,Servo Bearing,Bearings & Seals,part,1,,Servo bearing
BRG-0066,Sprocket Oil Seal,Bearings & Seals,part,1,,Sprocket oil seal
BRG-0067,U-Joint Bearing,Bearings & Seals,part,1,,U joint bearing
BRG-0068,Valve Stem Seal Set,Bearings & Seals,part,1,,Valve Stem Seal Set
BRK-0001,Clutch Plate,Brakes & Clutch,part,15,,Clutch Plate CD 125 | 1. Clutch plate | Clutch Plate | Cluth Plate
BRK-0002,Brake Pad Set,Brakes & Clutch,part,11,,Brake Pad Set | Break Pad Set
BRK-0003,Hand Brake Cable,Brakes & Clutch,part,9,,Break Cable | Hand Brake Cable | Hand Break Cable
BRK-0004,Pressure Plate,Brakes & Clutch,part,8,,2. Pressure plate | Pressor Plate | Pressur Plate | Pressure Plate | presser plate | Clutch pressor plates
BRK-0005,Brake Liner Set,Brakes & Clutch,part,5,,Brake Liner Set | Brake Liner Set (Front Side) | Brake Liner Set (Rear Side)
BRK-0006,Caliper Pin Boot,Brakes & Clutch,part,5,,Brake Caliber Pin Boot | Calipax pin drill boot | Caliper Boot | Caliper Din boots | Caliper Pin Dust Boots
BRK-0007,Caliper Seal Kit,Brakes & Clutch,part,5,,7. Caliper Seal kit | 8. Caliper seal kit | Calipe Seal kit | Caliper Seal Kit
BRK-0008,Caliper Boot,Brakes & Clutch,part,4,,Caliper Boot large | Calipar Pin Boot Set | Calipers boot set | Caliper Boot Small
BRK-0009,Caliper Seal,Brakes & Clutch,part,4,,6. Caliper Seal | Calipax Seal | Caliper Seal
BRK-0010,Clutch Pack,Brakes & Clutch,part,4,,4. Clutch pack (Large) | Clutch Pack Large | 3. Clutch pack (Small) | Clutch Pack Small
BRK-0011,Brake Booster Repair Kit,Brakes & Clutch,part,3,,Brake Booster Repair Kit | Breake Booster R/kit
BRK-0012,Brake Chamber Repair Kit,Brakes & Clutch,part,3,,Brake Chamber (repair kit) | Brake Chamber R/Kit
BRK-0013,Clutch Booster,Brakes & Clutch,part,3,,Clutch Booster
BRK-0014,Clutch Pump,Brakes & Clutch,part,3,,Clutch Pump upper & down | Clutch Pump | Clutch Pump (Upper)
BRK-0015,Drain Valve,Brakes & Clutch,part,3,,Air tank drain valve | Drain Valve
BRK-0016,Brake Master Pump,Brakes & Clutch,part,2,,Brake Master Pump
BRK-0017,Brake Pad Lock,Brakes & Clutch,part,2,,Brake Pad Lock
BRK-0018,Brake Ratchet,Brakes & Clutch,part,2,,Brake Ratchet
BRK-0019,Clutch Fork,Brakes & Clutch,part,2,,Clutch Fork
BRK-0020,Clutch Master Pump,Brakes & Clutch,part,2,,3. Clutch master pump +1 | Clutch Master Pump
BRK-0021,Clutch Master Pump Repair Kit,Brakes & Clutch,part,2,,Clutch Master Pump Repair Kit | Clutch Pump Master R/kit
BRK-0022,Clutch Pedal Bush,Brakes & Clutch,part,2,,3. Clutch pedal bush | Bush (Clutch Paddle)
BRK-0023,Clutch Pump Repair Kit,Brakes & Clutch,part,2,,Clutch Pump Repair Kit | Clutch Pump R/Kit (Uper)
BRK-0024,Clutch Washer Set,Brakes & Clutch,part,2,,Clutch Washer Down Set | Clutch Washer Up Set
BRK-0025,Hand Brake Liner,Brakes & Clutch,part,2,,H/ Brake Rear (Liner) | Hand brake liner
BRK-0026,Master Pump Repair Kit,Brakes & Clutch,part,2,,Master Pump R/Kit
BRK-0027,Brake Caliper Pin Bolt,Brakes & Clutch,part,1,,Brake calipa pin bolt
BRK-0028,Brake Cylinder,Brakes & Clutch,part,1,,Brake Cylinder
BRK-0029,Brake Cylinder Kit,Brakes & Clutch,part,1,,"Brake cylinder set (Piston, Seal)"
BRK-0030,Brake Disc,Brakes & Clutch,part,1,,Brake disc
BRK-0031,Brake Drum,Brakes & Clutch,part,1,,Brake Drum Front
BRK-0032,Brake Exhauster,Brakes & Clutch,part,1,,Brake Exhaoster
BRK-0033,Brake Foot Valve Repair Kit,Brakes & Clutch,part,1,,Break Foot Valve R/kit
BRK-0034,Brake Hose,Brakes & Clutch,part,1,,Brake oil hose
BRK-0035,Brake Load Sensing Valve,Brakes & Clutch,part,1,,Brake loud sensing Valve
BRK-0036,Brake Oil Tank,Brakes & Clutch,part,1,,Brake Oil Tank
BRK-0037,Brake Oil Tank Cap,Brakes & Clutch,part,1,,Brake oil tank cap
BRK-0038,Brake Shoe Release,Brakes & Clutch,part,1,,Brake Shoue Relasing
BRK-0039,Brake Shoe Retaining Spring,Brakes & Clutch,part,1,,Broke Shoe retaining
BRK-0040,Brake Washer Dust Boot,Brakes & Clutch,part,1,,Bracke Washer Dust Boots
BRK-0041,Caliper Dust Seal,Brakes & Clutch,part,1,,Calipar dust Seal
BRK-0042,Caliper Dust Seal Kit,Brakes & Clutch,part,1,,Caliper dust seal kit
BRK-0043,Caliper Gear,Brakes & Clutch,part,1,,Calipar Gear
BRK-0044,Caliper Piston,Brakes & Clutch,part,1,,Caliper Piston
BRK-0045,Clutch Bolt,Brakes & Clutch,part,1,,clutch bolt
BRK-0046,Clutch Hose,Brakes & Clutch,part,1,,Clutch Hose
BRK-0047,Clutch Master Cylinder,Brakes & Clutch,part,1,,1. Clutch master cylinder
BRK-0048,Clutch Oil Tank,Brakes & Clutch,part,1,,4. Clutch Oil tank
BRK-0049,Clutch Pan Pulley,Brakes & Clutch,part,1,,Clutch Pan Pully
BRK-0050,Clutch Plate Kit,Brakes & Clutch,part,1,,Clutch Plate Kit
BRK-0051,Clutch Pressure Pump,Brakes & Clutch,part,1,,Clutch Pressure Pump
BRK-0052,Clutch Pump Lower Repair Kit,Brakes & Clutch,part,1,,Clutch Pump Lower R/kit
BRK-0053,Clutch Race,Brakes & Clutch,part,1,,Clutch Racer
BRK-0054,Clutch Regulator,Brakes & Clutch,part,1,,Clutch Regulator
BRK-0055,Clutch Slave Pump,Brakes & Clutch,part,1,,2. Clutch slave pump
BRK-0056,Hand Brake Lock,Brakes & Clutch,part,1,,Hand Break Lock
BRK-0057,Master Cylinder Rod Pin,Brakes & Clutch,part,1,,2. Master cylinder rod pin
BRK-0058,Mid Axle Modulator,Brakes & Clutch,part,1,,EEX Mid Axel modulator
BRK-0059,Pressure Plate Spring,Brakes & Clutch,part,1,,Pressure Plate Spring
BRK-0060,Protection Valve,Brakes & Clutch,part,1,,Protection valve
BRK-0061,Rear Brake,Brakes & Clutch,part,1,,Mahindra Rear Brake
BRK-0062,Release Bearing Lock,Brakes & Clutch,part,1,,release bearing lock
BRK-0063,Unloading Valve,Brakes & Clutch,part,1,,Unloading Valve
BRK-0064,Withdrawal Plate,Brakes & Clutch,part,1,,6. Withdrawal Plate
CON-0001,Sand Paper,Consumables,consumable,27,"100 | 1000 | 120 | 150 | 2000 | 320 | 400 | 500 | 80,60,100 | 800 | 3020",3020 Sand Paper | 320 sand paper | Sand Paper | Sand Paper 150 | Sand Paper 320 | Sand Paper 400
CON-0002,Cotton Waste,Consumables,consumable,23,,Cotton Waste | Often waste | Cotton Wate
CON-0003,Kerosene Oil,Consumables,consumable,21,,K Oil | Karosine Oil | Kerosene Oil | Kerosine Oil
CON-0004,Petrol,Consumables,consumable,17,,Petrol | Petrol (Super)
CON-0005,Masking Tape,Consumables,consumable,16,,"2"" Masking | 1 masking Tape | Masking Tape | musking Tape"
CON-0006,Silastic 999 Gasket Sealant,Consumables,consumable,15,,Sealastic | Sealastic 999 | Seatastic 999 | 1999 Selastic | Selastic
CON-0007,Thinner,Consumables,consumable,15,,Thinner (Normal) | Thinet | Slow Thinner | Thinner
CON-0008,Caustic Soda,Consumables,consumable,14,,Caustic Soda | Cosmic Soda | Costic Soda
CON-0009,Contact Cleaner,Consumables,consumable,13,,Contact Cleaner | Electric Contact cleaner
CON-0010,Insulating Tape,Consumables,consumable,13,,Insulating Tape | Insulation Tape
CON-0011,Filler,Consumables,consumable,9,,Filler
CON-0012,White Paint,Consumables,consumable,9,,Briat White Paint | White Paint | Paint (White) | Paint White (Brillient White)
CON-0013,Yellow Paint,Consumables,consumable,9,,Yellow Paint | Paint Yellow
CON-0014,Super Glue,Consumables,consumable,8,,Super Glue | Super Glue Tube
CON-0015,Araldite,Consumables,consumable,7,,Araldite | Aroldite | Araldite Tube
CON-0016,Paint (Gray),Consumables,consumable,7,,Paint D. Gray | Paint Gray | Paint M. Gray
CON-0017,Safety Shoe,Consumables,consumable,7,42 | 43 | 46,Safety Shoe | Safety Shoes
CON-0018,Cable Tie,Consumables,consumable,6,4x200 | 4x300 | 4x400,Cable Tie (Large) | Cable Tie (Small) | Cable Tie
CON-0019,Primer,Consumables,consumable,6,,Primer | Primmer
CON-0020,Hand Gloves,Consumables,consumable,5,,Hand Gloves
CON-0021,Silicone Sealant (Black),Consumables,consumable,5,,Silicon (Black) | Silicone (All Purpose) Black | Silicone (Black)
CON-0022,1K Lacquer,Consumables,consumable,4,,1K Lacker
CON-0023,Black Paint,Consumables,consumable,4,301,Black Paint (Jet Black) | 301 Black Paint | Jeck Black PAint | Jet Black Paint
CON-0024,Car Wash,Consumables,consumable,4,,Car Wash
CON-0025,Cataloy Paste,Consumables,consumable,4,,Catloy Past | Cattloy Paste | catlay paste
CON-0026,Cup Brush,Consumables,consumable,4,,Cup Brush
CON-0027,Nylon Rod,Consumables,consumable,4,"1"" | 5/8""",Nylon Rod
CON-0028,Packing Sheet,Consumables,consumable,4,,1. Packing Sheet | Packing Sheet
